"ip_name","ods_datim_id","table_name","period","period_end_date","current_total_records"
"ACE-1","B0V6x5le9Tj","patient_person","2024W41","2024-10-13","1"
"ACE-1","cVnKorgLC9B","patient_person","2024W41","2024-10-13","2"
"ACE-1","hozfIkuo4eE","patient_person","2024W41","2024-10-13","1"
"ACE-1","M0b885TVP1Q","patient_person","2024W41","2024-10-13","1"
"ACE-1","Nx613mKHzsk","patient_person","2024W41","2024-10-13","1"
"ACE-1","oN0Woo9C7qb","patient_person","2024W41","2024-10-13","1"
"ACE-1","qY7ZkVcos1O","patient_person","2024W41","2024-10-13","5"
"ACE-1","VUQpWeYseot","patient_person","2024W41","2024-10-13","1"
"ACE-1","XyFDmlevgCu","patient_person","2024W41","2024-10-13","2"
"ACE-1","z6APuLTiHAX","patient_person","2024W41","2024-10-13","3"
"ACE-2","E5jz9JxYBuv","patient_person","2024W41","2024-10-13","1"
"ACE-2","QTDuxWidbcH","patient_person","2024W41","2024-10-13","1"
"ACE-2","tt3h2ApZs2w","patient_person","2024W41","2024-10-13","3"
"ACE-4","GxSUmojRHpC","patient_person","2024W41","2024-10-13","2"
"ACE-4","svjTbtRNldx","patient_person","2024W41","2024-10-13","9"
"ACE-5","CUOBDrrXyZ2","patient_person","2024W41","2024-10-13","1"
"ACE-5","IheVn83ZMpW","patient_person","2024W41","2024-10-13","5"
"ACE-5","kp2Wlc8KjBr","patient_person","2024W41","2024-10-13","1"
"ACE-5","qsH4l8otzsd","patient_person","2024W41","2024-10-13","2"
"ACE-5","th6DuyiCxCr","patient_person","2024W41","2024-10-13","1"
"ACE-5","ulunZz6L3UM","patient_person","2024W41","2024-10-13","1"
"ACE-5","vA2wulbOaP2","patient_person","2024W41","2024-10-13","1"
"ACE-5","wqFu0L5LcPF","patient_person","2024W41","2024-10-13","1"
"ACE-5","zYDjpVGyR6R","patient_person","2024W41","2024-10-13","1"
"ACE-6","cihXXrU8ccN","patient_person","2024W41","2024-10-13","1"
"ACE-6","MbdvhJg5Jag","patient_person","2024W41","2024-10-13","1"
"ACE-6","PI23kX7kKce","patient_person","2024W41","2024-10-13","5"
"HAN-KP-CARE 1","AKu9vYBZN3w","patient_person","2024W41","2024-10-13","1"
