"ods_table_name","constraints_columns","ods_table_info"
"ods_base_organisation_unit","(t1.ods_datim_id, t1.id)","ods_base_organisation_unit-(t1.ods_datim_id, t1.id)"
"ods_base_application_codeset","(t1.ods_datim_id, code)","ods_base_application_codeset-(t1.ods_datim_id, code)"
"ods_base_organisation_unit_identifier","(t1.ods_datim_id, t1.id)","ods_base_organisation_unit_identifier-(t1.ods_datim_id, t1.id)"
"ods_biometric","(t1.ods_datim_id, t1.id)","ods_biometric-(t1.ods_datim_id, t1.id)"
"ods_case_manager","(t1.ods_datim_id, t1.uuid)","ods_case_manager-(t1.ods_datim_id, t1.uuid)"
"ods_case_manager_patients","(t1.ods_datim_id, t1.id)","ods_case_manager_patients-(t1.ods_datim_id, t1.id)"
"ods_dsd_devolvement","(t1.ods_datim_id, t1.person_uuid, t1.uuid)","ods_dsd_devolvement-(t1.ods_datim_id, t1.person_uuid, t1.uuid)"
"ods_hiv_art_clinical","(t1.ods_datim_id, t1.uuid)","ods_hiv_art_clinical-(t1.ods_datim_id, t1.uuid)"
"ods_hiv_art_pharmacy","(t1.ods_datim_id, t1.uuid)","ods_hiv_art_pharmacy-(t1.ods_datim_id, t1.uuid)"
"ods_hiv_art_pharmacy_regimens","(t1.art_pharmacy_id, t1.regimens_id, t1.ods_datim_id)","ods_hiv_art_pharmacy_regimens-(t1.art_pharmacy_id, t1.regimens_id, t1.ods_datim_id)"
"ods_hiv_eac","(t1.ods_datim_id, t1.uuid)","ods_hiv_eac-(t1.ods_datim_id, t1.uuid)"
"ods_hiv_eac_session","(t1.ods_datim_id, t1.uuid)","ods_hiv_eac_session-(t1.ods_datim_id, t1.uuid)"
"ods_hiv_enrollment","(t1.ods_datim_id, t1.uuid)","ods_hiv_enrollment-(t1.ods_datim_id, t1.uuid)"
"ods_hiv_observation","(t1.ods_datim_id, t1.uuid)","ods_hiv_observation-(t1.ods_datim_id, t1.uuid)"
"ods_hiv_regimen","(t1.ods_datim_id, t1.id)","ods_hiv_regimen-(t1.ods_datim_id, t1.id)"
"ods_hiv_regimen_resolver","(t1.ods_datim_id,t1.regimensys, t1.regimen)","ods_hiv_regimen_resolver-(t1.ods_datim_id,t1.regimensys, t1.regimen)"
"ods_hiv_regimen_type","(t1.ods_datim_id, t1.id)","ods_hiv_regimen_type-(t1.ods_datim_id, t1.id)"
"ods_hiv_status_tracker","(t1.ods_datim_id, t1.uuid)","ods_hiv_status_tracker-(t1.ods_datim_id, t1.uuid)"
"ods_hts_client","(t1.ods_datim_id, t1.uuid)","ods_hts_client-(t1.ods_datim_id, t1.uuid)"
"ods_hts_index_elicitation","(t1.ods_datim_id, t1.id)","ods_hts_index_elicitation-(t1.ods_datim_id, t1.id)"
"ods_hts_risk_stratification","(t1.ods_datim_id, t1.code)","ods_hts_risk_stratification-(t1.ods_datim_id, t1.code)"
"ods_laboratory_labtest","(t1.ods_datim_id, t1.id)","ods_laboratory_labtest-(t1.ods_datim_id, t1.id)"
"ods_laboratory_test","(t1.ods_datim_id, t1.id)","ods_laboratory_test-(t1.ods_datim_id, t1.id)"
"ods_laboratory_order","(t1.ods_datim_id, t1.uuid, t1.patient_id)","ods_laboratory_order-(t1.ods_datim_id, t1.uuid, t1.patient_id)"
"ods_laboratory_result","(t1.ods_datim_id, t1.id)","ods_laboratory_result-(t1.ods_datim_id, t1.id)"
"ods_laboratory_sample","(t1.ods_datim_id, t1.id)","ods_laboratory_sample-(t1.ods_datim_id, t1.id)"
"ods_patient_encounter","(t1.ods_datim_id, t1.uuid)","ods_patient_encounter-(t1.ods_datim_id, t1.uuid)"
"ods_patient_person","(t1.ods_datim_id,uuid)","ods_patient_person-(t1.ods_datim_id,uuid)"
"ods_patient_visit","(t1.ods_datim_id, t1.id)","ods_patient_visit-(t1.ods_datim_id, t1.id)"
"ods_pmtct_anc","(t1.ods_datim_id, t1.person_uuid, t1.id)","ods_pmtct_anc-(t1.ods_datim_id, t1.person_uuid, t1.id)"
"ods_pmtct_delivery","(t1.id, t1.uuid, t1.person_uuid, t1.ods_datim_id)","ods_pmtct_delivery-(t1.id, t1.uuid, t1.person_uuid, t1.ods_datim_id)"
"ods_pmtct_enrollment","(t1.id, t1.uuid, t1.person_uuid, t1.ods_datim_id)","ods_pmtct_enrollment-(t1.id, t1.uuid, t1.person_uuid, t1.ods_datim_id)"
"ods_pmtct_infant_arv","(t1.id, t1.uuid, t1.ods_datim_id)","ods_pmtct_infant_arv-(t1.id, t1.uuid, t1.ods_datim_id)"
"ods_pmtct_infant_information","(t1.id, t1.uuid, t1.mother_person_uuid, t1.ods_datim_id)","ods_pmtct_infant_information-(t1.id, t1.uuid, t1.mother_person_uuid, t1.ods_datim_id)"
"ods_pmtct_infant_mother_art","(t1.id, t1.uuid, t1.ods_datim_id)","ods_pmtct_infant_mother_art-(t1.id, t1.uuid, t1.ods_datim_id)"
"ods_pmtct_infant_pcr","(t1.id, t1.uuid, t1.ods_datim_id)","ods_pmtct_infant_pcr-(t1.id, t1.uuid, t1.ods_datim_id)"
"ods_pmtct_infant_rapid_antibody","(t1.id, t1.uuid, t1.ods_datim_id,t1.unique_uuid)","ods_pmtct_infant_rapid_antibody-(t1.id, t1.uuid, t1.ods_datim_id,t1.unique_uuid)"
"ods_pmtct_infant_visit","(t1.id, t1.uuid, t1.ods_datim_id)","ods_pmtct_infant_visit-(t1.id, t1.uuid, t1.ods_datim_id)"
"ods_pmtct_mother_visitation","(t1.id, t1.person_uuid, uuid, t1.ods_datim_id)","ods_pmtct_mother_visitation-(t1.id, t1.person_uuid, uuid, t1.ods_datim_id)"
"ods_prep_clinic","(t1.ods_datim_id, t1.uuid)","ods_prep_clinic-(t1.ods_datim_id, t1.uuid)"
"ods_prep_eligibility","(t1.ods_datim_id, t1.uuid)","ods_prep_eligibility-(t1.ods_datim_id, t1.uuid)"
"ods_prep_enrollment","(t1.ods_datim_id, t1.uuid)","ods_prep_enrollment-(t1.ods_datim_id, t1.uuid)"
"ods_prep_interruption","(t1.ods_datim_id, t1.uuid)","ods_prep_interruption-(t1.ods_datim_id, t1.uuid)"
"ods_triage_vital_sign","(t1.ods_datim_id, t1.uuid)","ods_triage_vital_sign-(t1.ods_datim_id, t1.uuid)"
